id,protocol,calculation,units,value
14-0,SAX M-Mode,LV Mass AW,mg,147.167288
14-0,SAX M-Mode,LV Mass AW (Corrected),mg,117.73383
14-0,SAX M-Mode,LV Vol;d,uL,37.469123
14-0,SAX M-Mode,LV Vol;s,uL,18.279856
5-a,MV Flow,A'/E',none,0.789474
5-a,MV Flow,E'/A',none,1.266667
5-a,MV Flow,MV E/A,none,1.084236
5-a,MV Flow,MV E/E',none,-23.710526
5-a,SAX M-Mode,EF,%,48.100564
5-a,SAX M-Mode,FS,%,23.40424
5-a,SAX M-Mode,LV Mass AW,mg,195.976392
5-a,SAX M-Mode,LV Mass AW (Corrected),mg,156.781114
5-a,SAX M-Mode,LV Vol;d,uL,41.649204
5-a,SAX M-Mode,LV Vol;s,uL,21.615702
8-0,MV Flow,A'/E',none,1.291667
8-0,MV Flow,E'/A',none,0.774194
8-0,MV Flow,MV E/A,none,2.338028
8-0,MV Flow,MV E/E',none,-41.499999
8-0,SAX M-Mode,EF,%,71.27365
8-0,SAX M-Mode,FS,%,39.436634
8-0,SAX M-Mode,LV Mass AW,mg,270.479008
8-0,SAX M-Mode,LV Mass AW (Corrected),mg,216.383206
8-0,SAX M-Mode,LV Vol;d,uL,42.369455
8-0,SAX M-Mode,LV Vol;s,uL,12.171198
10-a,MV Flow,A'/E',none,0.863158
10-a,MV Flow,E'/A',none,1.158537
10-a,MV Flow,MV E/A,none,1.413695
10-a,MV Flow,MV E/E',none,-20.863158
10-a,SAX M-Mode,EF,%,69.182355
10-a,SAX M-Mode,FS,%,37.762231
10-a,SAX M-Mode,LV Mass AW,mg,221.736676
10-a,SAX M-Mode,LV Mass AW (Corrected),mg,177.389341
10-a,SAX M-Mode,LV Vol;d,uL,43.096424
10-a,SAX M-Mode,LV Vol;s,uL,13.281303
